ids,data
Q6C8F1,4.20314E-06
Q6CAR1,2.74526E-06
Q6CDH4,5.42522E-06
Q6C506,1.35617E-07
Q6CI31,4.53398E-06
Q6C0C0,6.98575E-06
Q6CHC1,2.66984E-06
Q6C9Z4,9.44852E-06
Q6CGQ4,5.54393E-06
Q6C9S4,1.1351E-06
Q9B6D0,4.44413E-06
Q6CAZ8,9.95449E-06
Q6CF71,7.94384E-06
Q6CH28,9.49515E-06
W0TYP2,2.61048E-06
Q6CH12,4.57148E-07
Q6CE67,1.54576E-06
Q6CEM3,8.20416E-06
Q6CE81,4.04936E-06
Q6C7S2,1.69614E-06
Q6C0S8,7.02403E-06
Q6CEI7,8.04036E-06
Q6CA01,6.94187E-06
Q6C237,8.43483E-06
Q6CBH9,8.97001E-06
Q6CE69,1.34872E-07
Q6CDI9,4.57691E-06
Q6C391,1.72836E-07
Q6CEW1,4.12326E-06
Q9B6C7,1.57942E-06
Q6CE27,8.13111E-06
Q6CCW0,9.49826E-06
Q6C3V4,3.94666E-06
Q6C7Z5,8.27109E-06
Q6CBR2,4.11595E-06
Q6CC03,3.60809E-07
Q6C5R2,2.69677E-06
Q6C8Q6,5.68533E-06
Q6CER0,1.96655E-07
Q6C2H0,1.77983E-06
Q6CDV6,2.38936E-06
Q6CB44,1.6415E-06
Q6CBE1,5.32107E-06
Q6CCR1,2.4657E-06
Q6CA39,8.01709E-06
Q6C7D3,6.77459E-06
Q6C6E7,2.40636E-06
Q6CFW4,6.53742E-06
Q6C6R6,2.76061E-06
Q6CCM5,9.1427E-06
Q6C3Q3,2.3212E-06
Q6CF40,4.25669E-06
Q6C1Q6,6.31159E-06
Q6C358,3.11436E-06
Q6C0F2,7.02001E-06
Q6C3K8,9.25718E-06
Q6C1W8,2.61018E-06
Q6C128,9.71768E-06
Q6C3B3,9.0695E-06
Q6C9W3,7.73248E-06
Q6CB40,6.3045E-06
Q6CE10,4.1292E-06
Q6CCK4,3.66993E-06
Q6C7L5,5.50297E-06
B5RSM7,7.94192E-06
Q6C4F9,7.85629E-06
Q6C6K7,9.32685E-06
Q6CEQ9,9.8521E-06
Q6CC77,5.77581E-06
Q6CAU0,3.35223E-06
Q6CES7,5.71729E-06
Q6CA21,5.18436E-06
Q6C1C3,3.99516E-06
Q6C232,5.34645E-06
Q6C802,9.6081E-06
Q6CC33,9.73488E-06
Q6C783,8.51271E-06
Q6C6U3,9.79041E-07
Q6CC36,6.4744E-06
Q6C5V7,7.9407E-06
Q6CFQ6,7.95474E-06
Q6C7H2,5.64884E-06
Q6C693,5.9296E-06
Q6CHT5,3.69573E-06
Q6CFH6,4.35202E-06
Q6CE04,6.06484E-06
Q6C6I0,9.94565E-06
F2Z5Y6,3.16715E-07
W0TYP1,6.56069E-06
B5FVD9,1.98255E-06
Q6C857,3.23924E-06
Q6CEX6,7.70661E-06
Q6CEX5,6.3276E-06
Q6C319,2.05221E-06
Q6C180,2.52483E-06
Q6C8Q7,1.16617E-06
Q6CET0,2.12009E-06
Q6C437,1.98883E-06
Q6C5F6,2.17564E-06
Q6CGD5,6.30877E-06
Q6CEB9,1.51942E-06
Q6CBA1,3.01275E-06
Q6CBK0,7.42001E-06
Q6C1B6,9.43753E-06
Q6CBZ6,4.1185E-06
Q6C067,5.31668E-06
Q6C4G3,9.00833E-06
B5FVF2,7.53008E-06
Q6C1A7,1.6155E-06
Q6CCP3,4.02998E-06
Q6C1H1,6.6451E-06
F2Z627,4.43577E-06
Q6CB35,8.93082E-06
Q6C0Q3,3.81583E-06
Q6CER2,9.38725E-06
Q6CF34,9.32041E-06
Q6C3Y9,4.70071E-06
Q6C8G8,8.00002E-06
Q6CA96,9.0528E-06
Q6C7C2,6.60491E-06
Q6C5J6,8.71782E-06
Q6C2X1,3.78611E-06
Q6C4V3,7.70176E-06
Q6C1Z6,9.46001E-06
Q6C7G8,6.33187E-06
Q6CDQ9,7.25472E-06
F2Z612,3.69534E-06
Q6CAJ9,4.22666E-06
Q6BZQ8,5.2913E-06
Q6CG09,9.36479E-06
Q6C028,1.82362E-06
Q6CCX7,6.80997E-06
Q6C4M2,3.68527E-06
Q6C7M3,3.69071E-06
Q6CCL2,8.42759E-06
Q6CAH7,9.65178E-06
Q6C1C5,2.01173E-06
Q6C9I8,9.55609E-06
Q6C0Y6,8.95084E-06
Q6CCN9,3.18915E-06
Q6CE64,4.41965E-06
Q6C057,3.9804E-06
Q6C3I5,2.72888E-06
Q6CFC5,9.24571E-06
Q6CGS9,9.80184E-06
Q6CE79,4.29735E-06
Q6CFW7,5.96561E-06
Q6CAP3,6.45594E-06
Q6C903,3.51741E-06
Q6CA42,3.00873E-06
Q6BZS9,4.11462E-06
Q6C1Y5,2.27046E-06
Q6C316,6.57139E-06
Q6C4A8,3.52399E-08
Q6C626,1.6571E-06
Q6CF14,3.34048E-06
Q6C9S5,7.23846E-06
Q6C5H9,4.6333E-06
Q6C184,2.95377E-06
Q6C9P7,2.8312E-06
O74934,2.44294E-06
Q6C402,7.55413E-06
Q6CF32,2.51298E-06
Q6C4I4,6.95379E-06
Q6CHV4,4.80993E-06
Q6CA80,8.47653E-06
Q6CH67,7.05669E-07
Q6C349,8.52128E-06
Q6CDV3,4.91842E-06
Q6C5I3,2.42366E-06
Q6C0H6,6.31834E-06
Q6C334,1.48708E-06
Q6C3S6,5.64604E-07
Q6CE35,4.75496E-06
Q6BZV5,6.79224E-06
Q6CEP3,9.21008E-06
Q6C714,4.71385E-06
Q6C1L5,3.61122E-06
Q6CHY7,3.74664E-06
Q6C6K4,9.52273E-06
Q6C6R4,4.37105E-06
Q6CF03,4.50561E-06
Q6C6T0,5.86004E-06
Q6C7T1,2.06622E-06
Q6C6D6,9.78828E-06
Q6CF00,8.32288E-06
Q6C4L8,2.38684E-06
Q6CA63,6.24927E-06
Q6C0Z1,2.08779E-07
Q6C9E9,1.99548E-06
Q6CDQ0,2.11747E-06
Q6CE43,8.34261E-07
Q6CGX7,6.01395E-06
Q6CC85,6.47378E-07
Q6C6F6,9.51528E-07
Q6C8W7,7.68905E-06
Q6CA09,1.28793E-06
Q6CAG9,6.46165E-06
Q6C4R7,4.5107E-06
Q6C4Y8,4.78134E-06
Q6C3S8,8.03408E-06
Q6CGK4,6.75104E-06
Q6CC58,1.24671E-07
Q6C774,6.35601E-06
Q6CI84,1.69211E-06
Q6C1V6,5.62743E-06
Q6CGL6,1.51818E-06
Q6C564,6.44214E-06
Q6C263,6.36064E-06
Q6CEU2,5.9697E-06
Q6C4H0,1.3118E-06
Q6C771,9.62504E-06
Q6CFL0,9.76369E-06
Q6C253,7.19963E-07
Q6CFW5,8.18334E-07
Q6C035,6.84626E-06
Q8WZL4,8.84989E-06
Q6C922,1.87535E-06
Q6C9B8,2.39248E-06
Q6BZS3,5.50184E-06
Q6C4Y4,2.52012E-06
Q6C0V9,7.07167E-07
Q6C3F7,4.07533E-06
Q6C2W1,7.41688E-06
Q6C119,7.23068E-07
Q6C561,1.37494E-07
Q6C4G2,3.42985E-06
Q6C2E4,9.80727E-06
Q6C3Y2,6.40827E-06
Q6C8F5,5.44917E-06
Q6C5D0,9.42364E-06
Q6C092,6.19054E-06
Q6C0A4,3.05634E-06
Q6C7C4,4.08865E-06
Q6C0W7,1.60497E-06
Q6C9B6,1.22781E-06
Q6C941,8.22101E-06
Q6C818,3.60268E-06
Q6C415,3.37615E-06
Q6C700,6.22535E-07
Q6C2M9,2.60344E-06
Q6C2N6,8.88323E-06
Q9TT36,1.86165E-07
Q6CDJ7,2.57015E-06
Q6C062,2.52109E-07
Q6CAQ3,3.42462E-06
Q6CBH1,2.88746E-06
Q6C0C6,5.17222E-06
Q6C1L0,4.87996E-06
Q6CB57,1.23795E-06
Q6C4R4,2.12916E-06
Q6C8Y6,8.10541E-06
Q6CI85,5.77664E-06
Q6C6T8,3.91126E-06
Q6C1U2,1.12885E-06
Q6CD49,1.1335E-07
Q6CBS4,1.17867E-06
Q6CB62,9.90305E-06
Q6C2D7,5.83967E-06
Q6CAX3,9.04804E-06
Q6C919,1.37793E-06
Q6C9I3,5.93322E-06
Q6CER6,4.62052E-06
Q6C0X9,1.0497E-06
Q6C6J5,5.87213E-06
Q6C697,9.07878E-06
Q6CH78,5.40251E-06
Q6C5A7,3.92672E-06
Q6CD51,3.53117E-06
Q6CCC1,7.95675E-06
Q6C3P6,2.14203E-06
Q6CD85,4.31629E-06
Q6C7Z7,8.67042E-06
Q6CD20,2.88102E-06
Q6C8Q0,7.55647E-06
P19012,9.05388E-06
Q6C9W5,2.65743E-06
Q6C5Y9,5.01494E-06
Q6C6N2,4.18847E-06
Q6C512,3.07534E-06
Q6C0K2,9.29839E-06
Q6CA93,1.10905E-06
Q6CD78,2.34885E-06
Q6C3N9,6.85262E-06
Q6C6N0,7.77149E-06
Q6C4N3,8.5046E-06
Q6CI43,7.14609E-06
Q6CBY6,5.39119E-06
Q6C845,5.61572E-07
Q6C483,4.50749E-06
Q6CB67,9.3626E-06
Q6CGZ8,6.06122E-06
Q6CE32,5.8171E-06
Q6C0J7,1.83434E-07
Q6CGQ2,6.79276E-06
Q6CGK1,7.92864E-06
Q6CEN9,8.85325E-06
Q6C554,1.13613E-06
Q6C520,1.20153E-06
Q6CGE1,8.26522E-06
Q6CDK1,3.7234E-06
Q6C5S4,8.17306E-06
Q6C839,2.26246E-06
Q6C9S7,8.99945E-06
Q6C861,6.89108E-06
Q6C283,5.58557E-06
B5FVD7,8.80223E-06
Q6C6P0,7.25882E-07
Q6C5Q4,5.4047E-06
Q6C6J6,7.82686E-06
Q6CE40,1.39841E-06
Q6C9W6,4.56563E-06
Q6CC19,6.59913E-08
Q6C4J1,7.04225E-06
Q6C6P3,4.94617E-06
Q6CE77,8.24392E-06
Q6C2E7,5.19843E-06
Q6C7F1,1.8735E-06
Q6CDN0,9.52876E-06
Q6C1U4,6.69233E-06
Q6C7X5,2.32017E-06
Q6CG75,9.02229E-06
Q6CFR5,5.39807E-06
Q6C255,9.61957E-06
Q6CFC7,4.18887E-06
Q6CH47,6.84799E-06
Q6CBI4,1.65358E-07
Q6CA50,4.89709E-06
Q6CHC6,4.11455E-06
Q6CET2,9.91363E-06
B5FVE7,1.10038E-07
Q6CAQ5,2.82827E-06
Q6CED4,6.97465E-07
Q6CE86,7.91451E-06
Q6C6J0,3.19931E-06
Q6C808,4.6428E-06
Q6C6C6,1.27253E-06
Q6C814,4.1562E-06
Q6BZR1,9.18348E-06
Q6C1R6,6.73125E-06
Q6C6Y5,4.64396E-06
Q6C0W1,1.85675E-06
Q6C523,7.46162E-06
Q6CBW0,2.34512E-06
Q6C9A9,6.32616E-06
Q6C2I2,2.06213E-06
Q6CGB0,3.58439E-06
Q6CCY4,9.72718E-06
Q6CE51,9.12345E-06
Q6C531,4.07401E-07
Q6CCX3,9.13505E-06
Q6C4J2,1.51387E-06
Q6CCH9,3.94275E-06
Q6CGD8,1.44832E-06
Q6CEY0,6.14598E-06
Q6C4P2,2.02952E-06
Q6CEV4,6.21792E-06
Q6CI62,5.62999E-06
Q6C362,9.33851E-06
Q6C2H4,2.02941E-06
Q6C4S0,7.06946E-06
Q6C0R5,6.13704E-06
F2Z5W7,1.66061E-06
Q6C4Y9,7.62203E-06
Q6C135,7.40771E-06
Q6CG66,1.35474E-06
Q6CAJ8,7.12869E-06
Q6CEV7,2.90495E-06
Q6C5S6,1.34693E-06
Q6CDC7,8.23916E-06
Q6CCL8,5.4823E-06
Q6C2Z5,5.33517E-06
Q6C8K1,9.95915E-06
Q6C6P8,3.94093E-06
Q6BZT9,3.11083E-06
Q6CDM2,9.34393E-06
Q6C9A4,8.48484E-06
Q6C149,8.51258E-06
Q6C167,7.6478E-06
Q6CDB8,3.67296E-07
F2Z6D5,5.49731E-06
Q6C480,1.16771E-06
Q6CAL6,3.80183E-06
Q6C543,3.47056E-06
Q6CA62,3.02352E-07
Q6C8G4,6.30376E-06
Q6CGG8,8.32139E-06
Q6CI14,1.04534E-07
Q6C3C8,3.01634E-06
Q6C7H3,7.34869E-06
Q6C116,1.7445E-06
Q6CAQ0,2.8043E-06
Q6C5K8,5.99996E-06
Q6CFD5,1.30444E-06
Q6C0F1,8.34547E-06
Q6C8W9,5.37258E-06
Q6C188,9.19532E-07
Q6C2X5,2.1078E-06
Q6CFN5,6.61852E-06
Q6C0E0,2.08499E-06
Q6CEZ7,6.2415E-06
Q6CDN2,7.22831E-06
Q6C893,3.68063E-07
Q6CDQ4,9.50796E-06
Q6CAP1,2.93292E-07
Q6CF68,1.9712E-06
Q6C5J8,4.74444E-06
Q6CAL8,1.79293E-06
Q6C4C6,8.22683E-06
Q6C344,6.10362E-06
Q6C9M2,7.52297E-06
Q6C114,4.92672E-06
Q6C6X2,9.28744E-06
Q6C8C7,3.4697E-06
Q6C6B6,9.92974E-06
F2Z5Z5,9.33066E-06
Q6C1D7,5.59023E-06
Q6C5R8,6.76635E-06
Q6CFQ9,9.02392E-06
Q6C428,2.23008E-06
Q6C228,3.38161E-06
Q6C8J4,4.03839E-06
B5FVH2,9.96741E-06
Q6CCS3,8.1462E-06
Q6CES8,5.79828E-06
Q6C0P9,6.47274E-06
Q6CDQ1,5.35397E-06
Q6CDU3,4.58682E-06
Q6CEV3,1.14191E-06
Q6BZY6,4.77448E-07
Q6C6B1,7.2877E-06
Q6C649,3.07572E-06
Q6CB86,5.65569E-06
Q6CBK3,9.26756E-06
Q6C9X1,3.31274E-06
Q6CG65,4.53974E-07
Q6C286,8.3761E-07
Q6CFT0,4.53548E-06
Q6C664,9.1976E-06
Q6C4H4,7.8349E-06
Q6C4M7,4.60502E-07
Q6CCS1,5.40807E-06
Q6CFV2,5.18636E-06
Q6CHD2,8.88024E-06
Q6CGS7,6.74227E-06
Q6CER4,8.08854E-06
Q6C5K2,7.33843E-06
Q6C044,8.01522E-06
P35908,3.1187E-06
Q6CA81,5.98227E-06
Q6CDL5,3.2511E-06
Q6C4K6,2.08588E-06
Q6CGZ9,5.15657E-07
B5RSM1,1.28761E-06
Q6CD42,4.24549E-06
F2Z6H3,5.94884E-06
Q6CBE3,4.00954E-06
P78980,2.11752E-06
W0TYP7,4.20898E-06
Q6C6S4,5.71276E-07
Q6CH24,8.03823E-06
Q6C015,6.31742E-06
Q6CFX6,7.30956E-06
Q6C0F4,3.90617E-06
Q6C409,7.25979E-06
Q6C5F2,3.48088E-06
Q6CC24,8.82081E-08
Q6C3B6,7.43539E-06
Q6CCA6,2.49969E-06
Q6CBL5,6.57461E-06
Q6C0K9,5.70676E-06
Q6CHC5,1.57344E-06
Q6C659,6.19864E-06
Q6C9K8,3.95321E-06
Q6CDC8,7.83843E-06
Q6C1U3,2.53628E-06
Q6CDD8,9.56095E-06
Q6C3A1,8.53245E-06
Q6C8A0,2.36036E-06
Q6CE66,8.4759E-06
Q6CE93,8.22012E-06
Q6C0P1,7.03684E-06
Q6C0D5,1.15826E-06
Q6C527,3.09888E-06
Q6CEE9,8.22814E-06
Q6CG49,1.27399E-06
Q6CFX3,8.68659E-06
Q6CI66,8.71245E-07
Q6C2I5,4.44652E-06
Q6CD17,5.73101E-06
Q6C7M6,6.57399E-06
Q6C3U4,8.9341E-06
Q6CDW5,8.70211E-06
B5FVC6,1.35538E-06
Q6C4E0,2.71783E-07
Q6CF13,5.18047E-06
Q6CCK1,7.67348E-06
Q6CGZ0,3.22302E-06
Q6C434,1.81043E-06
Q6C5M9,8.04293E-06
Q6C9S8,4.55712E-06
Q6C052,2.03175E-06
Q6CE25,3.59989E-06
Q6C2S7,3.40622E-06
Q6C3G6,9.25907E-06
Q6C133,9.01059E-06
Q6C0X6,3.92902E-06
Q6C4S5,2.06994E-06
Q6C510,5.36828E-06
Q6C7M1,6.9544E-06
Q6CB56,5.84859E-06
Q6C1W1,4.73537E-06
Q6CFQ5,7.7681E-06
Q6C4G7,4.10666E-06
Q6C7Z1,4.13817E-06
Q6C6K8,1.34334E-06
Q6C9D6,4.54032E-06
Q6C8U4,5.27864E-06
Q6C964,7.5508E-06
Q6CFD7,2.28965E-07
Q6C0E3,6.50268E-06
Q6CCK0,7.17768E-06
Q6CCR0,6.30943E-06
Q6C9X7,8.93221E-06
F2Z623,4.83946E-07
Q6C892,1.89921E-06
Q6C5M7,9.87574E-06
Q6C491,1.93462E-06
Q6C733,7.27969E-06
B5FVB7,6.22321E-06
Q6C9R5,9.17204E-06
F2Z6A9,9.5674E-06
Q6C8J5,5.68406E-06
Q6CDF6,3.75836E-06
Q6C7U4,3.95654E-06
Q6CG92,4.44575E-06
Q6C9X5,2.21205E-06
Q6CDM5,3.089E-06
Q6C6I9,1.47427E-06
Q6CE83,9.98878E-06
B5RSM5,9.57031E-06
Q6C5I1,8.77353E-06
Q6CEP6,6.12431E-06
Q6C8L4,5.04321E-06
P41925,4.95485E-06
Q6C130,4.15132E-06
Q6C2X6,4.02452E-07
Q6C536,9.35787E-07
Q6C6T6,1.48752E-06
Q6C677,3.36687E-06
Q6C4J8,4.48941E-06
Q6C424,7.31702E-06
Q6C3C2,1.12874E-06
Q6C6C0,4.25682E-06
Q6C3W2,2.33986E-06
Q6C9I0,8.005E-06
Q6CBB4,9.48109E-06
Q6CC86,9.78133E-06
Q6C9T6,7.60781E-06
Q6C1B5,9.03903E-06
Q6C1Z2,4.88002E-06
Q6CHT9,5.8308E-06
Q6C1Z1,3.97617E-06
Q6C1S2,4.77615E-06
Q6C4W0,3.52595E-07
Q6C8S4,2.38745E-07
Q6C601,3.1356E-06
Q6CDD9,6.46318E-06
Q6CAZ3,3.27995E-06
Q6CF15,9.53331E-06
B5FVF7,7.53778E-06
Q6CHI6,5.87885E-06
Q6C2C1,2.46256E-06
Q6CFK7,4.90958E-06
Q6CAM5,1.9853E-06
Q6C651,2.86752E-06
Q6CH92,7.56697E-06
Q6C308,5.36298E-06
Q6CAX8,9.20756E-06
Q6C1P4,2.25634E-06
Q6CGM4,6.46859E-06
Q6C7N5,4.9342E-07
Q6CE42,4.55518E-06
Q6C7T4,5.18189E-07
Q6C940,9.08952E-06
Q6C5G4,9.55693E-06
Q6CER3,4.52584E-06
Q6CHV1,8.572E-06
Q6C7V5,4.53792E-06
Q6C2J6,6.94777E-06
Q6C3R0,9.98099E-06
Q6CBY9,6.8319E-06
Q8WZL6,6.67608E-06
Q6CDU9,8.156E-06
Q6C3S9,2.40673E-06
Q6C4N0,1.55179E-06
Q6CGP6,8.21763E-07
Q6C898,9.12104E-06
Q6CHV0,7.74991E-07
Q6C620,1.89445E-07
Q6C2F4,9.10213E-06
Q6C5K6,5.79568E-06
Q6C0F3,5.86664E-06
Q6C853,5.70606E-06
Q6CEF5,3.68642E-06
Q6C1G9,8.05505E-06
Q6CF16,4.71379E-06
Q6CCN7,9.20801E-06
Q6BZQ6,2.94229E-06
Q6CEG5,9.61343E-06
Q6CFC6,4.67943E-08
Q6C6F4,9.62242E-07
Q6C2F5,8.23479E-06
Q6C5P0,8.13493E-06
Q6CCC7,1.03549E-06
Q6C4W8,7.26878E-06
Q6C599,2.31595E-06
Q6CA87,7.641E-06
Q6CFR9,6.66047E-08
Q6C4V0,7.01166E-07
Q6CG40,1.03374E-06
Q6CFU2,7.0432E-06
Q6C0A9,3.65853E-06
Q6C2Y1,5.70065E-06
Q6C0F8,8.68579E-06
Q6CFC2,1.13995E-06
Q6C171,8.98314E-06
Q6C281,2.40848E-06
Q6C291,9.76688E-06
Q6C5U1,7.15717E-06
Q6C261,5.40627E-06
Q6C6M8,4.23934E-06
Q6BZT6,8.67765E-06
Q6CFD3,2.2095E-06
Q6C0X8,3.49675E-07
Q6CDA1,2.58997E-06
Q6C2J3,1.71749E-06
Q6C7D4,7.16866E-08
Q6CHJ2,1.24898E-06
Q6C9B2,8.70138E-06
Q6CHS8,7.17808E-06
Q6CF37,6.50291E-06
Q6C8T9,2.16993E-06
Q6C9Q5,5.40531E-06
Q6CA28,1.13899E-06
Q6CCV7,2.37852E-06
Q6C3D8,5.45556E-06
B5RSL3,5.88231E-06
Q6C4E6,7.99707E-06
Q6CEZ8,5.98804E-06
Q6C0S3,7.22292E-06
Q6CG71,6.43996E-06
Q6CE37,4.15472E-06
Q6C636,8.75236E-06
Q6CAE1,9.9629E-06
Q6CAM2,7.52403E-06
Q6C8U9,5.05115E-06
Q6C8L5,2.42228E-06
Q6C072,1.50644E-06
Q6CG22,3.16436E-06
Q6C9F1,2.24688E-07
Q6C1B1,2.25224E-07
Q6C8D5,4.2117E-08
Q6CF63,2.62105E-06
Q6CCY0,5.98323E-06
Q6CE88,7.06231E-06
Q6CHP7,8.56703E-06
Q6C654,1.11689E-06
Q6C8J6,3.66216E-06
Q6CEC2,2.68376E-06
Q6CFB4,2.23442E-07
Q6CDG3,8.4178E-06
Q6CFG8,2.21152E-06
Q6C8S1,6.83712E-06
Q6C4L4,4.11256E-07
Q6C4V5,7.40865E-06
Q6CEL5,7.37913E-06
Q6C8G2,4.71259E-06
Q6C5H8,6.81334E-06
Q6CHN9,4.01001E-06
Q6CBJ5,5.6007E-06
Q6CFV6,4.29353E-07
Q6C6B0,2.02314E-06
Q6CDJ8,3.76639E-06
Q6CGI4,7.94681E-06
Q6CFW0,8.85757E-06
Q6CAE6,2.26497E-06
Q6C1G3,5.12101E-06
B5FVA7,1.70847E-06
Q6CFV9,8.57762E-06
Q6CCX2,7.27607E-06
Q6CGZ1,3.27034E-06
Q6C4Q1,3.16687E-06
Q6CGD1,9.7074E-06
Q6CG41,5.1739E-06
Q6C984,4.56515E-06
Q6C876,8.69995E-06
Q6CE09,1.19802E-06
Q6C6A1,1.46859E-06
Q6C8U5,8.74839E-06
Q6C3A7,5.57377E-06
Q6C4Y3,6.68707E-06
Q6CED8,4.04644E-06
Q6C4G8,3.16859E-06
Q6C5J0,7.52506E-06
Q6CCV8,7.95009E-06
Q6C1Q3,6.35713E-06
Q6C801,2.12278E-06
Q6CHS7,1.69736E-06
Q6CC38,2.08305E-06
Q6C9K9,9.81544E-06
Q6C590,9.21748E-06
Q6C7T7,9.32498E-07
Q6CD38,8.24761E-06
Q6CBK6,7.58065E-07
Q6C8G7,3.05632E-06
Q6CA54,9.86752E-06
Q6CAU6,6.10264E-06
Q6C4R5,4.05558E-06
Q6CEB5,9.66754E-06
Q6C731,8.80736E-06
Q6CFH3,7.56665E-06
Q6C579,7.40073E-06
Q6CB59,1.87433E-06
Q6CHD6,7.19366E-06
Q6C0I7,1.60965E-06
Q6C436,8.07511E-07
Q6C3P5,4.25124E-06
Q6C998,3.51661E-06
Q6C735,8.50768E-07
Q6C456,4.36443E-07
Q6C6F1,7.84231E-06
Q6C5X5,7.54629E-06
Q6C9H9,5.2085E-06
Q6C5Z7,9.65289E-06
Q6C315,8.97261E-06
Q6CHY3,9.22144E-07
Q6CCP1,6.01755E-06
Q6C0Y9,9.94815E-07
Q6C5N0,7.31488E-06
F2Z693,6.27069E-06
Q6C720,9.31512E-06
Q6C9I9,4.65216E-06
Q6CEA0,9.31422E-06
Q6C6K6,6.14518E-06
Q6C2K6,3.88171E-07
Q6CCR9,1.25011E-06
Q6CBV2,4.31222E-06
Q6CGF5,1.9971E-06
Q6C8V4,5.22986E-06
Q6CI88,1.52117E-07
Q6CDJ2,2.55722E-07
Q6C0Z9,1.12442E-06
Q6C9S6,5.71508E-06
Q6CAL3,7.80997E-06
Q6C2H9,4.14035E-06
Q6C660,5.78543E-06
Q6C9F2,3.10962E-06
Q6C2U1,2.55993E-07
Q6CCZ4,3.58576E-06
Q6C7Q0,4.71154E-06
Q6C1F1,8.68093E-06
Q6C7S0,6.80882E-06
Q6CCT6,3.86513E-06
Q6CED3,7.8695E-06
Q6C9D3,6.94648E-06
Q6CCH0,4.13921E-06
Q6C231,3.90748E-06
Q6CGF4,5.56798E-06
Q6C799,5.4987E-06
Q6CE61,8.60421E-06
Q6C222,9.11915E-06
Q6CDM3,5.75701E-06
Q6C9R3,2.45183E-06
O74932,1.61181E-06
Q6C003,2.53006E-06
Q6CCB6,6.8801E-06
Q6CAJ4,8.10089E-06
Q6BZY2,1.75858E-06
Q6C703,6.81449E-06
Q6CFN4,5.25622E-06
Q6CB28,3.52144E-06
Q6CHS5,2.79683E-06
Q6C6E0,8.16586E-06
Q6C6L4,6.94632E-06
Q6C8G1,4.62095E-07
Q6C5T0,2.70388E-06
Q6CC63,6.42276E-06
Q6C9M8,1.97491E-06
Q6C6Z3,7.72854E-06
Q6C7S6,5.5828E-07
Q6CDI8,6.28556E-06
Q6CCD2,3.04019E-06
Q6C127,1.09615E-09
F2Z617,4.07147E-06
Q6C8G6,1.94467E-06
Q6C4X8,2.93336E-06
Q6CA95,2.21879E-06
Q6C4P0,7.32111E-06
Q6C810,3.53421E-06
Q6C464,9.02589E-06
Q6BZP0,9.58439E-06
Q6C9A2,2.14785E-06
Q6C9E7,1.73367E-06
Q6CCQ1,9.74907E-07
Q6C5I7,2.33072E-06
Q6CDB3,1.16348E-06
Q6CA83,8.22224E-07
